BPI RK,TEAM,CONF,W-L,BPI,OFF,DEF,Year,,,,,
1,Gonzaga Bulldogs,WCC,28-4,20.5,12.8,7.7,2022,,,,,
2,Houston Cougars,American,32-6,19.8,10.1,9.7,2022,,,,,
3,Tennessee Volunteers,SEC,27-8,18,7.1,10.9,2022,,,,,
4,Baylor Bears,Big 12,27-7,17.9,10.1,7.8,2022,,,,,
5,Kentucky Wildcats,SEC,26-8,17.7,11.1,6.6,2022,,,,,
6,Kansas Jayhawks,Big 12,34-6,17.6,10.9,6.7,2022,,,,,
7,Arizona Wildcats,Pac-12,33-4,17.6,10.5,7.1,2022,,,,,
8,Villanova Wildcats,Big East,30-8,17.6,10.7,6.8,2022,,,,,
9,Duke Blue Devils,ACC,32-7,16.8,12,4.8,2022,,,,,
10,Texas Tech Red Raiders,Big 12,27-10,16.5,6,10.5,2022,,,,,
11,Purdue Boilermakers,Big Ten,29-8,16.4,12.7,3.6,2022,,,,,
12,UCLA Bruins,Pac-12,27-8,16.2,9.2,6.9,2022,,,,,
13,Auburn Tigers,SEC,28-6,15.6,6.5,9,2022,,,,,
14,Iowa Hawkeyes,Big Ten,26-10,15.5,11.9,3.5,2022,,,,,
15,LSU Tigers,SEC,22-12,14,3.6,10.4,2022,,,,,
16,Illinois Fighting Illini,Big Ten,23-10,13.9,7.3,6.7,2022,,,,,
17,Texas Longhorns,Big 12,22-12,13.9,6,7.8,2022,,,,,
18,North Carolina Tar Heels,ACC,29-10,13.3,7.8,5.5,2022,,,,,
19,UConn Huskies,Big East,23-10,13.3,7.6,5.7,2022,,,,,
20,Virginia Tech Hokies,ACC,23-13,13.2,8.3,5,2022,,,,,
21,Arkansas Razorbacks,SEC,28-9,12.8,5.3,7.6,2022,,,,,
22,Saint Mary's Gaels,WCC,26-8,11.8,4.5,7.3,2022,,,,,
23,Memphis Tigers,American,22-11,11.8,5.6,6.2,2022,,,,,
24,Alabama Crimson Tide,SEC,19-14,11.6,8.2,3.4,2022,,,,,
25,Ohio State Buckeyes,Big Ten,20-12,11.5,8.6,2.9,2022,,,,,
26,Michigan Wolverines,Big Ten,19-15,11.4,7.6,3.9,2022,,,,,
27,Loyola Chicago Ramblers,MVC,25-8,11.2,4.9,6.4,2022,,,,,
28,Wisconsin Badgers,Big Ten,25-8,10.9,4.7,6.1,2022,,,,,
29,Providence Friars,Big East,27-6,10.7,5.4,5.3,2022,,,,,
30,Oklahoma Sooners,Big 12,19-16,10.7,5.1,5.6,2022,,,,,
31,San Diego State Aztecs,Mountain West,23-9,10.6,0.3,10.3,2022,,,,,
32,San Francisco Dons,WCC,24-10,10.6,5.4,5.1,2022,,,,,
33,TCU Horned Frogs,Big 12,21-13,10.5,4,6.5,2022,,,,,
34,Michigan State Spartans,Big Ten,23-13,10.3,5.6,4.7,2022,,,,,
35,Murray State Racers,OVC,31-3,10.3,6.6,3.7,2022,,,,,
36,Wake Forest Demon Deacons,ACC,25-10,10.2,5.3,4.9,2022,,,,,
37,Mississippi State Bulldogs,SEC,18-16,10.2,5.3,4.9,2022,,,,,
38,Oklahoma State Cowboys,Big 12,15-15,10.2,0.8,9.4,2022,,,,,
39,Texas A&M Aggies,SEC,27-13,10.1,4.2,5.8,2022,,,,,
40,Vermont Catamounts,Am. East,28-6,10,6.7,3.2,2022,,,,,
41,Indiana Hoosiers,Big Ten,21-14,10,3.2,6.8,2022,,,,,
42,Notre Dame Fighting Irish,ACC,24-11,9.8,6.9,2.9,2022,,,,,
43,USC Trojans,Pac-12,26-8,9.8,4.8,5,2022,,,,,
44,Dayton Flyers,A-10,24-11,9.7,4.3,5.5,2022,,,,,
45,Seton Hall Pirates,Big East,21-11,9.6,4,5.6,2022,,,,,
46,Xavier Musketeers,Big East,23-13,9.6,5.3,4.2,2022,,,,,
47,Florida Gators,SEC,20-14,9.4,4.9,4.5,2022,,,,,
48,St. John's Red Storm,Big East,17-15,9.2,5.4,3.8,2022,,,,,
49,UAB Blazers,CUSA,27-8,9.2,5.5,3.8,2022,,,,,
50,Miami Hurricanes,ACC,26-11,9.1,7.7,1.5,2022,,,,,
51,Iowa State Cyclones,Big 12,22-13,9.1,0.5,8.7,2022,,,,,
52,Davidson Wildcats,A-10,27-7,9.1,9,0.1,2022,,,,,
53,SMU Mustangs,American,24-9,9.1,4.3,4.8,2022,,,,,
54,Washington State Cougars,Pac-12,22-15,8.8,3,5.7,2022,,,,,
55,Vanderbilt Commodores,SEC,19-17,8.5,3.1,5.4,2022,,,,,
56,Saint Louis Billikens,A-10,23-12,8.4,4.8,3.6,2022,,,,,
57,VCU Rams,A-10,22-10,8.2,-1.3,9.5,2022,,,,,
58,Virginia Cavaliers,ACC,21-14,8.1,3.1,5,2022,,,,,
59,Boise State Broncos,Mountain West,27-8,8,2.9,5.1,2022,,,,,
60,Syracuse Orange,ACC,16-17,8,7.5,0.6,2022,,,,,
61,Marquette Golden Eagles,Big East,19-13,8,3.6,4.4,2022,,,,,
62,Chattanooga Mocs,Southern,27-8,8,4.2,3.8,2022,,,,,
63,North Texas Mean Green,CUSA,25-7,8,2,6,2022,,,,,
64,Clemson Tigers,ACC,17-16,7.9,5.2,2.8,2022,,,,,
65,Creighton Bluejays,Big East,23-12,7.8,2,5.8,2022,,,,,
66,South Dakota State Jackrabbits,Summit,30-5,7.8,9,-1.2,2022,,,,,
67,West Virginia Mountaineers,Big 12,16-17,7.8,3.6,4.2,2022,,,,,
68,St. Bonaventure Bonnies,A-10,23-10,7.7,4.8,2.9,2022,,,,,
69,Belmont Bruins,OVC,25-8,7.6,5.4,2.2,2022,,,,,
70,Kansas State Wildcats,Big 12,14-17,7.5,3.6,3.9,2022,,,,,
71,Furman Paladins,Southern,22-12,7.4,7.4,0,2022,,,,,
72,Maryland Terrapins,Big Ten,15-17,7.3,4.6,2.8,2022,,,,,
73,Rutgers Scarlet Knights,Big Ten,18-14,7.3,3,4.3,2022,,,,,
74,Toledo Rockets,MAC,26-8,7.2,5.7,1.5,2022,,,,,
75,Oregon Ducks,Pac-12,20-15,7,4.7,2.3,2022,,,,,
76,Richmond Spiders,A-10,24-13,7,4.5,2.5,2022,,,,,
77,Iona Gaels,MAAC,25-8,6.9,3.6,3.3,2022,,,,,
78,Towson Tigers,CAA,25-9,6.9,4.3,2.6,2022,,,,,
79,Santa Clara Broncos,WCC,21-12,6.6,5.4,1.2,2022,,,,,
80,Northwestern Wildcats,Big Ten,15-16,6.6,2.5,4.1,2022,,,,,
81,Penn State Nittany Lions,Big Ten,14-17,6.4,2.5,4,2022,,,,,
82,Colorado State Rams,Mountain West,25-6,6.4,5.9,0.5,2022,,,,,
83,Missouri State Bears,MVC,23-11,6.4,5.9,0.4,2022,,,,,
84,BYU Cougars,WCC,24-11,6.2,3.8,2.5,2022,,,,,
85,Fresno State Bulldogs,Mountain West,23-13,6.2,1.3,4.8,2022,,,,,
86,South Carolina Gamecocks,SEC,18-13,5.7,-0.3,6,2022,,,,,
87,Utah State Aggies,Mountain West,18-16,5.6,3.7,1.9,2022,,,,,
88,Wichita State Shockers,American,15-13,5.5,0.7,4.8,2022,,,,,
89,Drake Bulldogs,MVC,25-11,5.4,3.9,1.5,2022,,,,,
90,Arizona State Sun Devils,Pac-12,14-17,5.3,-0.7,5.9,2022,,,,,
91,Florida State Seminoles,ACC,17-14,5.2,2.4,2.7,2022,,,,,
92,UNLV Rebels,Mountain West,18-14,5.1,2.9,2.2,2022,,,,,
93,Colorado Buffaloes,Pac-12,21-12,4.9,1.7,3.2,2022,,,,,
94,DePaul Blue Demons,Big East,15-16,4.9,2.9,2,2022,,,,,
95,Tulane Green Wave,American,14-15,4.9,3.6,1.3,2022,,,,,
96,Saint Peter's Peacocks,MAAC,22-12,4.8,-1.5,6.3,2022,,,,,
97,UCF Knights,American,18-12,4.7,2.5,2.2,2022,,,,,
98,Middle Tennessee Blue Raiders,CUSA,26-11,4.6,2.2,2.4,2022,,,,,
99,Grand Canyon Lopes,WAC,23-8,4.5,0.5,4,2022,,,,,
100,Liberty Flames,ASUN,22-11,4.5,3.1,1.4,2022,,,,,
101,Cincinnati Bearcats,American,18-15,4.5,1.2,3.3,2022,,,,,
102,Ole Miss Rebels,SEC,13-19,4.4,2,2.5,2022,,,,,
103,George Mason Patriots,A-10,14-16,4.2,2.3,2,2022,,,,,
104,Northern Iowa Panthers,MVC,20-12,4.2,4.6,-0.4,2022,,,,,
105,Akron Zips,MAC,24-10,4.2,3,1.2,2022,,,,,
106,New Mexico State Aggies,WAC,27-7,3.9,2,1.9,2022,,,,,
107,Louisiana Tech Bulldogs,CUSA,24-10,3.9,2.4,1.5,2022,,,,,
108,Minnesota Golden Gophers,Big Ten,13-17,3.8,2.6,1.2,2022,,,,,
109,Stanford Cardinal,Pac-12,16-16,3.8,1.4,2.4,2022,,,,,
110,Wyoming Cowboys,Mountain West,25-9,3.8,2.9,0.9,2022,,,,,
111,Bradley Braves,MVC,17-14,3.8,0.4,3.4,2022,,,,,
112,Wofford Terriers,Southern,19-13,3.8,3.7,0.1,2022,,,,,
113,Western Kentucky Hilltoppers,CUSA,19-13,3.7,2,1.7,2022,,,,,
114,Colgate Raiders,Patriot,23-12,3.7,3.8,-0.1,2022,,,,,
115,Wagner Seahawks,NEC,21-6,3.7,1.2,2.5,2022,,,,,
116,Buffalo Bulls,MAC,19-11,3.6,3.2,0.4,2022,,,,,
117,Louisville Cardinals,ACC,13-19,3.4,0.9,2.5,2022,,,,,
118,Hofstra Pride,CAA,21-11,3.2,4,-0.8,2022,,,,,
119,Ohio Bobcats,MAC,25-10,3.1,1.8,1.4,2022,,,,,
120,Temple Owls,American,17-12,3,-0.1,3.1,2022,,,,,
121,Washington Huskies,Pac-12,17-15,2.9,0.5,2.5,2022,,,,,
122,Boston College Eagles,ACC,13-20,2.9,1.5,1.4,2022,,,,,
123,NC State Wolfpack,ACC,21-Nov,2.9,3.9,-1,2022,,,,,
124,Princeton Tigers,Ivy,23-7,2.9,5.7,-2.9,2022,,,,,
125,Kent State Golden Flashes,MAC,23-11,2.8,0.3,2.6,2022,,,,,
126,Oral Roberts Golden Eagles,Summit,19-12,2.3,4.3,-2,2022,,,,,
127,Jacksonville State Gamecocks,ASUN,21-11,2.3,2.6,-0.3,2022,,,,,
128,Rhode Island Rams,A-10,15-16,2.2,-2.3,4.5,2022,,,,,
129,Morehead State Eagles,OVC,23-11,2.1,-0.1,2.2,2022,,,,,
130,UC Irvine Anteaters,Big West,15-10,2,-2.3,4.4,2022,,,,,
131,Seattle U Redhawks,WAC,23-9,2,-0.4,2.4,2022,,,,,
132,California Golden Bears,Pac-12,20-Dec,1.8,-1.3,3.1,2022,,,,,
133,Longwood Lancers,Big South,26-7,1.8,2.3,-0.5,2022,,,,,
134,Monmouth Hawks,MAAC,21-13,1.7,0,1.6,2022,,,,,
135,Nebraska Cornhuskers,Big Ten,22-Oct,1.4,1.6,-0.2,2022,,,,,
136,Texas State Bobcats,Sun Belt,21-8,1.4,1,0.4,2022,,,,,
137,Georgia Tech Yellow Jackets,ACC,20-Dec,1.4,-1.1,2.5,2022,,,,,
138,Utah Utes,Pac-12,20-Nov,1.4,2,-0.6,2022,,,,,
139,Georgia State Panthers,Sun Belt,18-11,1.4,-0.9,2.3,2022,,,,,
140,Oakland Golden Grizzlies,Horizon,20-12,1.4,1.5,-0.1,2022,,,,,
141,Coastal Carolina Chanticleers,Sun Belt,19-14,1.3,0.3,1,2022,,,,,
142,Abilene Christian Wildcats,WAC,25-11,1.2,-0.1,1.3,2022,,,,,
143,North Dakota State Bison,Summit,23-10,1.2,1.1,0.1,2022,,,,,
144,Sam Houston Bearkats,WAC,19-14,1.2,-1.1,2.3,2022,,,,,
145,Butler Bulldogs,Big East,14-19,1.1,-0.9,2.1,2022,,,,,
146,Charleston Cougars,CAA,17-15,1.1,0.7,0.4,2022,,,,,
147,South Alabama Jaguars,Sun Belt,21-12,1.1,0,1.1,2022,,,,,
148,Florida Atlantic Owls,CUSA,19-15,1.1,1.6,-0.5,2022,,,,,
149,Delaware Blue Hens,CAA,22-13,1.1,2.5,-1.4,2022,,,,,
150,Winthrop Eagles,Big South,23-9,1.1,2.2,-1.1,2022,,,,,
151,Jacksonville Dolphins,ASUN,21-10,1.1,-1.3,2.4,2022,,,,,
152,Norfolk State Spartans,MEAC,24-7,1,-0.2,1.2,2022,,,,,
153,Drexel Dragons,CAA,15-14,0.9,1.8,-0.9,2022,,,,,
154,UC Santa Barbara Gauchos,Big West,17-11,0.9,1.5,-0.7,2022,,,,,
155,Wright State Raiders,Horizon,22-14,0.8,2.3,-1.5,2022,,,,,
156,Southern Illinois Salukis,MVC,16-15,0.8,-0.9,1.7,2022,,,,,
157,VMI Keydets,Southern,16-16,0.8,4.7,-3.9,2022,,,,,
158,Missouri Tigers,SEC,21-Dec,0.8,-0.3,1,2022,,,,,
159,Yale Bulldogs,Ivy,19-12,0.7,-1.4,2.1,2022,,,,,
160,Gardner-Webb Runnin' Bulldogs,Big South,18-13,0.6,-2.5,3.1,2022,,,,,
161,Navy Midshipmen,Patriot,21-11,0.6,-3.8,4.4,2022,,,,,
162,Nevada Wolf Pack,Mountain West,13-18,0.6,1,-0.4,2022,,,,,
163,UNC Asheville Bulldogs,Big South,17-15,0.5,1,-0.4,2022,,,,,
164,Tulsa Golden Hurricane,American,20-Nov,0.5,0.8,-0.3,2022,,,,,
165,Appalachian State Mountaineers,Sun Belt,19-15,0.4,-1.2,1.6,2022,,,,,
166,Utah Valley Wolverines,WAC,20-12,0.2,-1.3,1.5,2022,,,,,
167,Niagara Purple Eagles,MAAC,14-16,0.2,-0.2,0.3,2022,,,,,
168,Montana State Bobcats,Big Sky,27-8,0.1,0.4,-0.3,2022,,,,,
169,Saint Joseph's Hawks,A-10,19-Nov,0.1,-1.2,1.3,2022,,,,,
170,Stephen F. Austin Lumberjacks,WAC,22-10,0,-1.6,1.6,2022,,,,,
171,Kansas City Roos,Summit,19-12,-0.1,-0.7,0.6,2022,,,,,
172,Bryant Bulldogs,NEC,22-10,-0.2,0.6,-0.7,2022,,,,,
173,Cleveland State Vikings,Horizon,20-11,-0.2,0.6,-0.8,2022,,,,,
174,East Carolina Pirates,American,15-15,-0.3,-0.4,0,2022,,,,,
175,UTEP Miners,CUSA,20-14,-0.3,-1,0.6,2022,,,,,
176,Cal State Fullerton Titans,Big West,21-11,-0.4,0.7,-1.1,2022,,,,,
177,Georgetown Hoyas,Big East,25-Jun,-0.4,1.2,-1.6,2022,,,,,
178,Texas Southern Tigers,SWAC,19-13,-0.4,-2.5,2.1,2022,,,,,
179,Northern Kentucky Norse,Horizon,20-12,-0.5,-0.4,-0.1,2022,,,,,
180,Bellarmine Knights,ASUN,20-13,-0.5,3.5,-4,2022,,,,,
181,UNC Wilmington Seahawks,CAA,27-9,-0.6,0.6,-1.2,2022,,,,,
182,Fairfield Stags,MAAC,15-18,-0.6,-0.9,0.3,2022,,,,,
183,Fordham Rams,A-10,16-16,-0.7,-5.2,4.5,2022,,,,,
184,UNC Greensboro Spartans,Southern,17-15,-0.7,-1.7,1,2022,,,,,
185,Nicholls Colonels,Southland,21-12,-0.7,-0.4,-0.3,2022,,,,,
186,Weber State Wildcats,Big Sky,21-12,-0.9,0.5,-1.3,2022,,,,,
187,Portland Pilots,WCC,19-15,-0.9,-0.1,-0.8,2022,,,,,
188,Massachusetts Minutemen,A-10,15-17,-0.9,5.2,-6.1,2022,,,,,
189,Hawai'i Rainbow Warriors,Big West,17-11,-0.9,-0.6,-0.3,2022,,,,,
190,Florida Gulf Coast Eagles,ASUN,22-12,-1.1,1.8,-2.9,2022,,,,,
191,Old Dominion Monarchs,CUSA,13-19,-1.1,-0.9,-0.3,2022,,,,,
192,Cornell Big Red,Ivy,15-11,-1.2,0.6,-1.9,2022,,,,,
193,Southern Utah Thunderbirds,Big Sky,23-12,-1.3,1.3,-2.6,2022,,,,,
194,Louisiana Ragin' Cajuns,Sun Belt,16-15,-1.3,-1.8,0.5,2022,,,,,
195,James Madison Dukes,CAA,15-14,-1.4,0.3,-1.7,2022,,,,,
196,South Dakota Coyotes,Summit,19-12,-1.4,2,-3.4,2022,,,,,
197,Long Beach State Beach,Big West,20-13,-1.5,-0.7,-0.8,2022,,,,,
198,UC Riverside Highlanders,Big West,16-12,-1.6,-2.5,0.9,2022,,,,,
199,Pittsburgh Panthers,ACC,21-Nov,-1.7,-2.2,0.5,2022,,,,,
200,Marist Red Foxes,MAAC,14-16,-1.8,-1.5,-0.3,2022,,,,,
201,Boston University Terriers,Patriot,22-13,-1.8,1.8,-3.5,2022,,,,,
202,Mercer Bears,Southern,16-17,-1.8,0.7,-2.5,2022,,,,,
203,East Tennessee State Buccaneers,Southern,15-17,-1.9,2.3,-4.2,2022,,,,,
204,Southern Jaguars,SWAC,17-14,-1.9,-3.7,1.7,2022,,,,,
205,Troy Trojans,Sun Belt,20-12,-1.9,-3.2,1.3,2022,,,,,
206,Purdue Fort Wayne Mastodons,Horizon,21-12,-1.9,-1.5,-0.4,2022,,,,,
207,Charlotte 49ers,CUSA,17-14,-1.9,1.2,-3.1,2022,,,,,
208,Georgia Bulldogs,SEC,26-Jun,-2,2.1,-4,2022,,,,,
209,Campbell Fighting Camels,Big South,16-13,-2.1,-1.1,-0.9,2022,,,,,
210,Howard Bison,MEAC,16-13,-2.1,-1.4,-0.7,2022,,,,,
211,New Hampshire Wildcats,Am. East,15-13,-2.1,0.9,-3,2022,,,,,
212,Brown Bears,Ivy,13-16,-2.1,-2.3,0.2,2022,,,,,
213,Detroit Mercy Titans,Horizon,14-16,-2.1,2.4,-4.6,2022,,,,,
214,Arkansas State Red Wolves,Sun Belt,18-11,-2.2,-2,-0.2,2022,,,,,
215,Samford Bulldogs,Southern,21-11,-2.3,-0.4,-1.9,2022,,,,,
216,Long Island University Sharks,NEC,16-14,-2.3,-1.4,-0.9,2022,,,,,
217,UMass Lowell River Hawks,Am. East,15-16,-2.3,-3.4,1,2022,,,,,
218,UMBC Retrievers,Am. East,18-14,-2.4,0.5,-2.9,2022,,,,,
219,Quinnipiac Bobcats,MAAC,14-17,-2.4,0.2,-2.6,2022,,,,,
220,Dartmouth Big Green,Ivy,16-Sep,-2.6,-2.2,-0.4,2022,,,,,
221,Kennesaw State Owls,ASUN,13-18,-2.7,0.3,-3,2022,,,,,
222,Valparaiso Beacons,MVC,14-18,-2.7,-0.3,-2.5,2022,,,,,
223,Rice Owls,CUSA,16-17,-2.7,2,-4.7,2022,,,,,
224,Illinois State Redbirds,MVC,13-20,-2.9,-0.4,-2.4,2022,,,,,
225,George Washington Revolutionaries,A-10,18-Dec,-2.9,-2.4,-0.4,2022,,,,,
226,San Diego Toreros,WCC,15-16,-2.9,-3.6,0.8,2022,,,,,
227,Pennsylvania Quakers,Ivy,16-Dec,-2.9,0.8,-3.8,2022,,,,,
228,Eastern Kentucky Colonels,ASUN,13-18,-2.9,-0.3,-2.6,2022,,,,,
